FaveAnimal,PythonLevel,NumSiblings,Read_Terms_Conditions,AlgorithmTrust,NumTabs,SuperbowlTeam,Weather,FaveArtist,DrakeVKendrick,RecentMathCourse,NumBeverages,HoursOfSleep,Fruit,CerealIsSoup?
seals,2,0,Never,5,13,Philadelphia Eagles,1,Hozier,Kendrick Lamar,Linear algebra,1,8.5,pineapple,No
anteater!,1,1,Never,2,57,Philadelphia Eagles,2,glen campbell,Kendrick Lamar,linear algebra! ,2,8,kiwi,No
cat,2,1,Sometimes,5,8,Philadelphia Eagles,3,Bad bunny ,Kendrick Lamar,Taking Currently AP Statistics,2,7,Mango,No
Rabbits?,5,3,Never,8,"only two, but i usually have more than one browser with more than 8 each ",Philadelphia Eagles,3,nancy ajram,Kendrick Lamar,linear algebra,2,7,pomegranate ,No
Panda,1,1,Never,5,62,Philadelphia Eagles,2,Maisie Peters,Kendrick Lamar,Stats 104,1,9,Strawberry,No
,,,,,,Philadelphia Eagles,2,Jackson Pollock,Kendrick Lamar,linear algebra,2,8,peach,Yes
,,,,,,Philadelphia Eagles,3,N/A,Kendrick Lamar,Modelling and Simulation ,2,7,,No
,1,0,Never,4,15,Philadelphia Eagles,3,Taylor Swift,Kendrick Lamar,Statistical analysis in psychology ,3,7,,No
"Super tough, I love a lot of animals",2,0,Never,6,4,Philadelphia Eagles,3,Suuuper tough but at the moment I'm enjoying Kaytranada!,Kendrick Lamar,Biostatistics,2,7,Mango,No
Lamb  ,3,6,Sometimes,4,14 😭,Philadelphia Eagles,1,Hillsong ,,Calc 1,,,,
Lion,2,1,Sometimes,6,4,Philadelphia Eagles,2,A.R. Rahman,Kendrick Lamar,Math 102,,,,
cat,1,1,Never,5,1,Philadelphia Eagles,1,fiona apple,Kendrick Lamar,linear algebra,1,9,apple,No
,,,,,,Philadelphia Eagles,2,Alice Neel,Kendrick Lamar,Statistics,,,,
tiger,2,4,Never,6,11,Philadelphia Eagles,3,QUEEN,Kendrick Lamar,Intro to Modeling and Simulations,2,9,pomegranate ,No
Quokka,3,1,Never,3,9,Kansas City Chiefs,4,Gracie Abrams,Kendrick Lamar,Linear Algebra Currently ,,,,
Red panda ,3,One ,Sometimes,4,,Philadelphia Eagles,2,"Very had to choose, but I really like listening to indie and pop music",,Psyc205 Research methods and statistics ,,,Strawberry,No
Hummingbird,1,0,Sometimes,6,3,I do not care about football ,3,,,Calculus ,2,7,blackberry,No
House cat,3,2.5,Sometimes,4,6,Philadelphia Eagles,2,Doechii,Drake,Math 501 Graduate Real Analysis,1,7.5,Kiwi,No
Squid,2,2,Sometimes,3,28,I do not care about football ,3,NA,Kendrick Lamar,Intro statistics,1,7,Banana,No
dog,1,2,Never,5,21,Philadelphia Eagles,3,Jade Thirlwall,Kendrick Lamar,"History of Mathematics, Modeling and Simulation (currently taking both)",3,5,pineapple,No
dragons,2,1,Sometimes,3,At least 1000 split between three devices and 7 browser windows,,,,,,,,,
turtles ,5,1,Sometimes,3,58,Philadelphia Eagles,2,Lizzie mcalpine,Kendrick Lamar,Linear algebra,,,,
dog,1,1,Never,2,11,Philadelphia Eagles,2,,Kendrick Lamar,Multivariable Calculus,2,9,mango,No
Sea Turtles,1,0,Never,3,5,Philadelphia Eagles,2,Hozier ,Kendrick Lamar,Multivariate Statistics,2,7.5,Coconut,No
Frog,1,1,Sometimes,3,9,Philadelphia Eagles,1,Lucy Dacus,Kendrick Lamar,Calc 2,1,7,dragonfruit,No
pigeon,1,0,Never,3,27,Philadelphia Eagles,4,Noah Kahan,Kendrick Lamar,Intro Probability and Stats,1,8,pear,No
hedgehog,1,0,Never,3,144,Philadelphia Eagles,3,Elton John,Kendrick Lamar,Probability and Statistics ,2,4,strawberry,No
Giraffe,1,2,Never,6,5,Philadelphia Eagles,3,Tems,Kendrick Lamar,Calculus 3,1,6,A mango,No
Chinchilla,3,1,Sometimes,3,5,,,,,,,,,
,,,,,,Philadelphia Eagles,3,Lilyisthatyou ,Kendrick Lamar,Calc 1,3,"2.5, but that was an anomaly for me ",Pomegranate ,
